,gyroscope,light,accelerometer,magnetic,pressure
637,,,,27895.0,
638,,,27899.0,,
639,27900.0,,,,
640,,,,,
641,,,27904.0,,
642,27904.0,,,,
643,,,,,
644,,,27909.0,,
645,27909.0,,,,
646,,,,,
647,,,,27910.0,
648,,,27912.0,,
649,27912.0,,,,
650,,,,,
651,,,27922.0,,
652,27922.0,,,,
653,,,,,
654,,,27922.0,,
655,27922.0,,,,
656,,,,,
657,,,,27922.0,
658,,,27926.0,,
659,27926.0,,,,
660,,,,,
661,,,27929.0,,
662,27930.0,,,,
663,,,,,
664,,,27937.0,,
665,27938.0,,,,
666,,,,,
667,,,,27938.0,
668,,,27939.0,,
669,27939.0,,,,
670,,,,,
671,,27943.0,,,
672,,,27943.0,,
673,27943.0,,,,
674,,,,,
675,,,27947.0,,
676,27947.0,,,,
677,,,,,
678,,,,27948.0,
679,,,27952.0,,
680,27952.0,,,,
681,,,,,
682,,,27956.0,,
683,27956.0,,,,
684,,,,,
685,,,27960.0,,
686,27961.0,,,,
687,,,,,
688,,,,27961.0,
689,,,27965.0,,
690,27965.0,,,,
691,,,,,
692,,,27970.0,,
693,27970.0,,,,
694,,,,,
695,,,27974.0,,
696,27974.0,,,,
697,,,,,
698,,,,27975.0,
699,,,27978.0,,
700,27978.0,,,,
701,,,,,
702,,,27983.0,,
703,27983.0,,,,
704,,,,,
705,,,27987.0,,
706,27988.0,,,,
707,,,,,
708,,,,27989.0,
709,,,27991.0,,
710,27991.0,,,,
711,,,,,
712,,,27995.0,,
713,27996.0,,,,
714,,,,,
715,,,28000.0,,
716,28000.0,,,,
717,,,,,
718,,,,28001.0,
719,,,28004.0,,
720,28005.0,,,,
721,,,,,
722,,,28009.0,,
723,28009.0,,,,
724,,,,,
725,,,28013.0,,
726,28013.0,,,,
727,,,,,
728,,,,28014.0,
729,,,28017.0,,
730,28017.0,,,,
731,,,,,
732,,,28022.0,,
733,28022.0,,,,
734,,,,,
735,,,28026.0,,
736,28026.0,,,,
737,,,,,
738,,,,28027.0,
739,,,28030.0,,
740,28031.0,,,,
741,,,,,
742,,,28035.0,,
743,28035.0,,,,
744,,,,,
745,,,28040.0,,
746,28040.0,,,,
747,,,,,
748,,,,28041.0,
749,,,28043.0,,
750,28044.0,,,,
751,,,,,
752,,,28048.0,,
753,28048.0,,,,
754,,,,,
755,,,28053.0,,
756,28053.0,,,,
757,,,,,
758,,,,28055.0,
759,,,28057.0,,
760,28057.0,,,,
761,,,,,
762,,,28061.0,,
763,28062.0,,,,
764,,,,,
765,,,28066.0,,
766,28066.0,,,,
767,,,,,
768,,,,28069.0,
769,,,28074.0,,
770,28074.0,,,,
771,,,,,
772,,,28075.0,,
773,28075.0,,,,
774,,,,,
775,,,28080.0,,
776,,,,,28081.0
777,28081.0,,,,
778,,,,,
779,,,,28082.0,
780,,,28083.0,,
781,28084.0,,,,
782,,,,,
783,,,28087.0,,
784,28088.0,,,,
785,,,,,
786,,,28092.0,,
787,28092.0,,,,
788,,,,,
789,,,,28093.0,
790,,,28096.0,,
791,28096.0,,,,
792,,,,,
793,,28100.0,,,
794,,,28101.0,,
795,28101.0,,,,
796,,,,,
797,,,28106.0,,
798,28106.0,,,,
799,,,,,
800,,,,28106.0,
801,,,28109.0,,
802,28110.0,,,,
803,,,,,
804,,,28113.0,,
805,28114.0,,,,
806,,,,,
807,,,28118.0,,
808,28118.0,,,,
809,,,,,
810,,,,28119.0,
811,,,28123.0,,
812,28123.0,,,,
813,,,,,
814,,,28126.0,,
815,28128.0,,,,
816,,,,,
817,,,28131.0,,
818,28132.0,,,,
819,,,,,
820,,,,28132.0,
821,,,28135.0,,
822,28136.0,,,,
823,,,,,
824,,,28140.0,,
825,28140.0,,,,
826,,,,,
827,,,28144.0,,
828,28145.0,,,,
829,,,,,
830,,,,28145.0,
831,,,28149.0,,
832,28149.0,,,,
833,,,,,
834,,,28153.0,,
835,28153.0,,,,
836,,,,,
837,,,28158.0,,
838,28158.0,,,,
839,,,,,
840,,,,28159.0,
841,,,28163.0,,
842,28163.0,,,,
843,,,,,
844,,,28166.0,,
845,28167.0,,,,
846,,,,,
847,,,28171.0,,
848,28171.0,,,,
849,,,,,
850,,,,28175.0,
851,,,28176.0,,
852,28176.0,,,,
853,,,,,
854,,,28179.0,,
855,28180.0,,,,
856,,,,,
857,,,28184.0,,
858,28184.0,,,,
859,,,,,
860,,,,28185.0,
861,,,28188.0,,
862,28188.0,,,,
863,,,,,
864,,,28192.0,,
865,28193.0,,,,
866,,,,,
867,,,28197.0,,
868,28197.0,,,,
869,,,,,
870,,,,28198.0,
871,,,28201.0,,
872,28201.0,,,,
873,,,,,
874,,,28205.0,,
875,28206.0,,,,
876,,,,,
877,,,28210.0,,
878,28211.0,,,,
879,,,,,
880,,,,28211.0,
881,,,28214.0,,
882,28214.0,,,,
883,,,,,
884,,,28218.0,,
885,28219.0,,,,
886,,,,,
887,,,28223.0,,
888,28224.0,,,,
889,,,,,
890,,,,28224.0,
891,,,28227.0,,
892,28228.0,,,,
893,,,,,
894,,,28232.0,,
895,28232.0,,,,
896,,,,,
897,,,28236.0,,
898,28237.0,,,,
899,,,,,
900,,,,28238.0,
901,,,28241.0,,
902,28241.0,,,,
903,,,,,
904,,,28245.0,,
905,28245.0,,,,
906,,,,,
907,,,28250.0,,
908,28250.0,,,,
909,,,,,
910,,,,28251.0,
911,,,28254.0,,
912,28254.0,,,,
913,,,,,
914,,,28259.0,,
915,,28259.0,,,
916,28259.0,,,,
917,,,,,
918,,,28263.0,,
919,28263.0,,,,
920,,,,,
921,,,,28264.0,
922,,,28267.0,,
923,28267.0,,,,
924,,,,,
925,,,28272.0,,
926,28272.0,,,,
927,,,,,
928,,,28276.0,,
929,28278.0,,,,
930,,,,,
931,,,,28279.0,
932,,,28281.0,,
933,28282.0,,,,
934,,,,,
935,,,28285.0,,
936,,,,,28285.0
937,28286.0,,,,
938,,,,,
939,,,28290.0,,
940,28290.0,,,,
941,,,,,
942,,,,28292.0,
943,,,28293.0,,
944,28294.0,,,,
945,,,,,
946,,,28298.0,,
947,28298.0,,,,
948,,,,,
949,,,28302.0,,
950,28303.0,,,,
951,,,,,
952,,,,28304.0,
953,,,28306.0,,
954,28307.0,,,,
955,,,,,
956,,,28311.0,,
957,28312.0,,,,
958,,,,,
959,,,28315.0,,
960,28316.0,,,,
961,,,,,
962,,,,28318.0,
963,,,28320.0,,
964,28320.0,,,,
965,,,,,
966,,,28324.0,,
967,28324.0,,,,
968,,,,,
969,,,28329.0,,
970,28329.0,,,,
971,,,,,
972,,,,28330.0,
973,,,28333.0,,
974,28333.0,,,,
975,,,,,
976,,,28337.0,,
977,28338.0,,,,
978,,,,,
979,,,28342.0,,
